Mastery PVT LTD Company,,,,,,,,,,,,,,,,,,
"Dhaka,Bangladesh",,,,,,,,,,,,,,,,,,
June'2026 Sales Analysis Report,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SL. No,Emp Name,Emp ID,City,Monitor,,Printer,,SSD,,CPU,,Keyboard,,Computer,,Total Target,Total Achievement,Ratio
,,,,Target,Achievement,Target,Achievement,Target,Achievement,Target,Achievement,Target,Achievement,Target,Achievement,,,
1,Naim,1001,Khulna,1968535,4846810,1013519,4091828,3782742,4869342,2929296,2664808,4137486,2164871,3555962,4781687,17387540,23419346,135%
2,Sakil,1002,Dhaka,4722754,3288451,4689288,4960735,4072820,1953201,2987493,4300356,4947129,2586590,2416591,2255872,23836075,19345205,81%
3,Jamal,1003,Barisal,3001165,3306243,4922437,4900073,1692071,3228656,3031938,1452400,1129144,2735010,1752363,2924815,15529118,18547197,119%
4,Kamal,1004,Joshor,1147080,2495350,4944327,2387968,3811107,4979534,4777391,4363884,1311114,3917129,2495254,1155218,18486273,19299083,104%
5,Nasim,1005,Magura,3139411,1564773,4923307,3712848,1255646,2779249,1998288,3081280,3941682,3293009,4622639,3810678,19880973,18241837,92%
6,Sourov,1006,Rajbari,4360867,3035782,2280164,3893634,2307728,4297439,3116668,2272189,2544659,4745521,1830763,2648109,16440849,20892674,127%
7,Sakin,1007,Sylhet,4663140,2371563,1096736,4221252,1830472,1216047,4697494,1224968,4482251,2317809,3634958,2831207,20405051,14182846,70%
8,Motalib,1008,COX,2959016,3364244,2502205,2343500,4508612,2413831,2663229,2748748,2100092,3802766,2497501,2553765,17230655,17226854,100%
9,Rahul,1009,Ctg,2022580,3960910,4399364,1578728,2075902,3910563,3284729,3962368,2815934,1258750,2560380,2916630,17158889,17587949,103%
Net Total,,,,27984548,28234126,30771347,32090566,25337100,29647862,29486526,26071001,27409491,26821455,25366411,25877981,166355423,168742991,101%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Signature,,
